Code	System	Display	Definition
1688-1	http://terminology.hl7.org/CodeSystem/v3-Race	Alpine	Alpine
1689-9	http://terminology.hl7.org/CodeSystem/v3-Race	Carson	Carson
1690-7	http://terminology.hl7.org/CodeSystem/v3-Race	Dresslerville	Dresslerville
1692-3	http://terminology.hl7.org/CodeSystem/v3-Race	Wichita	Wichita
1694-9	http://terminology.hl7.org/CodeSystem/v3-Race	Wind River	Wind River
1696-4	http://terminology.hl7.org/CodeSystem/v3-Race	Winnebago	Winnebago
1697-2	http://terminology.hl7.org/CodeSystem/v3-Race	Ho-chunk	Ho-chunk
1698-0	http://terminology.hl7.org/CodeSystem/v3-Race	Nebraska Winnebago	Nebraska Winnebago
1700-4	http://terminology.hl7.org/CodeSystem/v3-Race	Winnemucca	Winnemucca
1702-0	http://terminology.hl7.org/CodeSystem/v3-Race	Wintun	Wintun
1704-6	http://terminology.hl7.org/CodeSystem/v3-Race	Wiyot	Wiyot
1705-3	http://terminology.hl7.org/CodeSystem/v3-Race	Table Bluff	Table Bluff
1707-9	http://terminology.hl7.org/CodeSystem/v3-Race	Yakama	Yakama
1709-5	http://terminology.hl7.org/CodeSystem/v3-Race	Yakama Cowlitz	Yakama Cowlitz
1711-1	http://terminology.hl7.org/CodeSystem/v3-Race	Yaqui	Yaqui
1712-9	http://terminology.hl7.org/CodeSystem/v3-Race	Barrio Libre	Barrio Libre
1713-7	http://terminology.hl7.org/CodeSystem/v3-Race	Pascua Yaqui	Pascua Yaqui
1715-2	http://terminology.hl7.org/CodeSystem/v3-Race	Yavapai Apache	Yavapai Apache
1717-8	http://terminology.hl7.org/CodeSystem/v3-Race	Yokuts	Yokuts
1718-6	http://terminology.hl7.org/CodeSystem/v3-Race	Chukchansi	Chukchansi
1719-4	http://terminology.hl7.org/CodeSystem/v3-Race	Tachi	Tachi
1720-2	http://terminology.hl7.org/CodeSystem/v3-Race	Tule River	Tule River
1722-8	http://terminology.hl7.org/CodeSystem/v3-Race	Yuchi	Yuchi
1724-4	http://terminology.hl7.org/CodeSystem/v3-Race	Yuman	Yuman
1725-1	http://terminology.hl7.org/CodeSystem/v3-Race	Cocopah	Cocopah
1726-9	http://terminology.hl7.org/CodeSystem/v3-Race	Havasupai	Havasupai
1727-7	http://terminology.hl7.org/CodeSystem/v3-Race	Hualapai	Hualapai
1728-5	http://terminology.hl7.org/CodeSystem/v3-Race	Maricopa	Maricopa
1729-3	http://terminology.hl7.org/CodeSystem/v3-Race	Mohave	Mohave
1730-1	http://terminology.hl7.org/CodeSystem/v3-Race	Quechan	Quechan
1731-9	http://terminology.hl7.org/CodeSystem/v3-Race	Yavapai	Yavapai
1732-7	http://terminology.hl7.org/CodeSystem/v3-Race	Yurok	Yurok
1733-5	http://terminology.hl7.org/CodeSystem/v3-Race	Coast Yurok	Coast Yurok
1735-0	http://terminology.hl7.org/CodeSystem/v3-Race	Alaska Native	Alaska Native
1737-6	http://terminology.hl7.org/CodeSystem/v3-Race	Alaska Indian	Alaska Indian
1739-2	http://terminology.hl7.org/CodeSystem/v3-Race	Alaskan Athabascan	Alaskan Athabascan
1740-0	http://terminology.hl7.org/CodeSystem/v3-Race	Ahtna	Ahtna
1811-9	http://terminology.hl7.org/CodeSystem/v3-Race	Southeast Alaska	Southeast Alaska
1813-5	http://terminology.hl7.org/CodeSystem/v3-Race	Tlingit-Haida	Tlingit-Haida
1814-3	http://terminology.hl7.org/CodeSystem/v3-Race	Angoon	Angoon
1815-0	http://terminology.hl7.org/CodeSystem/v3-Race	Central Council of Tlingit and Haida Tribes	Central Council of Tlingit and Haida Tribes
1816-8	http://terminology.hl7.org/CodeSystem/v3-Race	Chilkat	Chilkat
1817-6	http://terminology.hl7.org/CodeSystem/v3-Race	Chilkoot	Chilkoot
1818-4	http://terminology.hl7.org/CodeSystem/v3-Race	Craig	Craig
1819-2	http://terminology.hl7.org/CodeSystem/v3-Race	Douglas	Douglas
1820-0	http://terminology.hl7.org/CodeSystem/v3-Race	Haida	Haida
1821-8	http://terminology.hl7.org/CodeSystem/v3-Race	Hoonah	Hoonah
1822-6	http://terminology.hl7.org/CodeSystem/v3-Race	Hydaburg	Hydaburg
1823-4	http://terminology.hl7.org/CodeSystem/v3-Race	Kake	Kake
1824-2	http://terminology.hl7.org/CodeSystem/v3-Race	Kasaan	Kasaan
1825-9	http://terminology.hl7.org/CodeSystem/v3-Race	Kenaitze	Kenaitze
1826-7	http://terminology.hl7.org/CodeSystem/v3-Race	Ketchikan	Ketchikan
1827-5	http://terminology.hl7.org/CodeSystem/v3-Race	Klawock	Klawock
1828-3	http://terminology.hl7.org/CodeSystem/v3-Race	Pelican	Pelican
1829-1	http://terminology.hl7.org/CodeSystem/v3-Race	Petersburg	Petersburg
1830-9	http://terminology.hl7.org/CodeSystem/v3-Race	Saxman	Saxman
1831-7	http://terminology.hl7.org/CodeSystem/v3-Race	Sitka	Sitka
